22719	30734	8817	19377	8479	12580	16017	18953	68604	35479	16139	20780	19813	16291	36809	26176	9670	12171	35612	
15945	17100	8194	21518	9410	9244	12079	7830	42860	33576	19020	14103	12928	13937	18881	26490	7379	11530	24292	
24495	19035	12984	14557	7330	11281	14503	15313	48431	33435	10939	17376	17369	22888	33014	20241	10622	11980	25288	
15831	15323	16435	16600	10501	12264	13684	8421	60109	36625	12674	14055	12552	16381	27444	20854	16149	17081	27210	
19808	17587	21932	24975	9589	10717	12353	12764	51130	37542	11421	15512	9225	14742	23077	23773	21842	21984	26699	
20953	23019	17672	12620	5266	8762	9656	12174	43131	33488	14806	10679	10516	11117	21369	15569	13471	12447	28225	
14718	18147	12323	19139	7380	9969	13155	10084	43042	34134	12256	16517	12087	13776	20754	19051	12329	12964	26323	
21678	17682	19139	20374	6917	10776	9317	18754	40952	53098	18325	12161	16110	17427	32487	25425	16950	12523	21509	
19606	16209	14980	24272	7487	11708	13647	10440	56122	23156	13040	20026	15293	17639	23419	15929	13442	10031	20101	
10932	14020	13544	15532	6397	7333	11126	9599	33812	30833	8110	14756	8248	14018	13112	18333	13133	9314	13817	
16995	23395	16287	11726	7450	6901	8818	12409	29634	27928	15156	12675	14314	15915	18160	19799	13250	10114	21774	
16325	13664	15961	13026	6187	5201	5523	11236	31443	28381	10340	11519	8041	11031	14837	15694	12271	12781	19111	
9435	14593	11199	18142	7059	7286	10229	9607	33460	23572	9826	10105	8677	10892	17558	16577	9150	11705	17117	
10538	12749	8892	8970	8616	6926	8620	10135	22068	21824	12261	14209	13633	13521	19981	12046	6656	5513	16488	
14121	13016	11262	16215	5773	6962	9718	8302	36501	19287	14136	15363	12985	9220	24955	14537	10402	10080	12828	
13716	12133	11003	16982	6490	8208	8628	12416	25478	19147	11325	14985	11099	8709	15709	11996	8187	8871	18895	
